"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11"
"1","shit","dead","youre","love","hes","life","god","call","day","run","time"
"2","money","kill","ill","baby","rock","ive","soul","chorus","night","hand","heart"
"3","bitch","blood","hold","girl","boy","world","fly","stop","eyes","head","fall"
"4","hit","hate","leave","shes","roll","live","heaven","play","dream","burn","waiting"
"5","niggas","death","youll","tonight","town","mind","lord","people","light","fire","walk"
"6","yall","black","youve","kiss","ride","lie","wind","move","sun","watch","cry"
"7","ass","war","stay","gotta","home","change","angel","dance","blue","breath","words"
"8","real","die","feeling","sweet","city","inside","water","talk","stars","wall","left"
"9","gotta","fear","home","mine","drink","die","rise","bad","rain","hell","break"
"10","wit","power","friend","true","white","stand","land","coming","sleep","line","song"
